song,artist,chart_appearance_days,best_chart_position,average_chart_position,average_popularity,total_chart_rows,album_type,is_explicit,album_cover_url,chart_presence_rate
Seven (feat. Latto) (Explicit Ver.),Jung Kook & Latto,109,1,1.0,98.30275229357798,109,single,True,https://i.scdn.co/image/ab67616d0000b273bf5cce5a0e1ed03a626bdd74,0.1963963963963964
Who,Jimin,129,1,1.0,92.7984496124031,129,album,False,https://i.scdn.co/image/ab67616d0000b273f02c451189a709b9a952aaec,0.23243243243243245
Seven (feat. Latto) (Explicit Ver.),Jung Kook & Latto & BTS,2,1,1.0,92.0,2,single,True,https://i.scdn.co/image/ab67616d0000b273bf5cce5a0e1ed03a626bdd74,0.0036036036036036037
Like Crazy,Jimin,554,1,6.680505415162455,89.21660649819495,554,single,False,https://i.scdn.co/image/ab67616d0000b2732b46078245d0120690eb560d,0.9981981981981982
Super Shy,NewJeans,409,1,25.337408312958434,87.41809290953545,409,single,False,https://i.scdn.co/image/ab67616d0000b2733d98a0ae7c78a3a9babaf8af,0.736936936936937
Magnetic,ILLIT,244,1,14.631147540983607,87.40983606557377,244,single,False,https://i.scdn.co/image/ab67616d0000b273f037c5fb9de6c78726cb8e2c,0.43963963963963965
Seven (feat. Latto) (Explicit Ver.),Jung Kook,385,1,2.9532467532467535,86.23896103896104,385,album,True,https://i.scdn.co/image/ab67616d0000b273741fd4807f442af3f7359316,0.6936936936936937
"Angel Pt. 1 (feat. Jimin of BTS, JVKE & Muni Long)",Fast & Furious: The Fast Saga & Jimin & BTS,217,1,13.603686635944701,82.07373271889401,217,single,False,https://i.scdn.co/image/ab67616d0000b273445afb6341d2685b959251cc,0.390990990990991
How Sweet,NewJeans,184,1,16.456521739130434,81.02173913043478,184,single,False,https://i.scdn.co/image/ab67616d0000b273b657fbb27b17e7bd4691c2b2,0.33153153153153153
Supernatural,NewJeans,157,1,13.617834394904458,79.71337579617834,157,single,False,https://i.scdn.co/image/ab67616d0000b2737e1eeb0d7cc374a168369c80,0.2828828828828829
Supernova,aespa,194,1,14.463917525773196,71.55154639175258,194,single,False,https://i.scdn.co/image/ab67616d0000b273ed3dee5d65ac33128324ecd2,0.34954954954954953
APT.,ROSÉ & Bruno Mars,39,2,2.4358974358974357,94.71794871794872,39,single,False,https://i.scdn.co/image/ab67616d0000b273f8c8297efc6022534f1357e1,0.07027027027027027
Smeraldo Garden Marching Band (feat. Loco),Jimin & Loco,20,2,2.0,89.5,20,single,False,https://i.scdn.co/image/ab67616d0000b27338881a83135ef5b4ace418ba,0.036036036036036036
UNFORGIVEN (feat. Nile Rodgers),LE SSERAFIM,103,2,23.689320388349515,87.77669902912622,103,album,False,https://i.scdn.co/image/ab67616d0000b273d71fd77b89d08bc1bda219c7,0.18558558558558558
Mantra,JENNIE,46,2,11.41304347826087,87.15217391304348,46,single,True,https://i.scdn.co/image/ab67616d0000b273a3775761df7db97cf6699e41,0.08288288288288288
I AM,IVE,159,2,22.132075471698112,86.41509433962264,159,album,False,https://i.scdn.co/image/ab67616d0000b27325ef3cec1eceefd4db2f91c8,0.2864864864864865
3D (feat. Jack Harlow),Jung Kook & Jack Harlow,112,2,5.017857142857143,84.63392857142857,112,single,True,https://i.scdn.co/image/ab67616d0000b273409a2d7bd4b2238e4aaa7bf5,0.2018018018018018
SPOT!,ZICO & JENNIE,87,2,19.32183908045977,83.82758620689656,87,single,False,https://i.scdn.co/image/ab67616d0000b2731b8ae147aceb9fc130391287,0.15675675675675677
Like Crazy (English Version),Jimin,429,2,4.296037296037296,82.1934731934732,429,single,False,https://i.scdn.co/image/ab67616d0000b2732b46078245d0120690eb560d,0.772972972972973
Closer Than This,Jimin,335,2,7.979104477611941,80.68656716417911,335,single,False,https://i.scdn.co/image/ab67616d0000b273e3dbc03f538633dbb40adf37,0.6036036036036037
Be Mine,Jimin,129,2,3.116279069767442,80.11627906976744,129,album,False,https://i.scdn.co/image/ab67616d0000b273f02c451189a709b9a952aaec,0.23243243243243245
Running Wild,Jin,11,2,4.0,74.9090909090909,11,single,False,https://i.scdn.co/image/ab67616d0000b2731dcf069284321bef1306d6ec,0.01981981981981982
SPOT!,ZICO,3,2,2.6666666666666665,73.33333333333333,3,single,False,https://i.scdn.co/image/ab67616d0000b2731b8ae147aceb9fc130391287,0.005405405405405406
HOME SWEET HOME (feat. TAEYANG & DAESUNG),G-DRAGON & TAEYANG & DAESUNG,4,2,4.25,63.75,4,single,False,https://i.scdn.co/image/ab67616d0000b273bcacb16531b21146ed9dc2a0,0.007207207207207207
Standing Next to You,Jung Kook,384,3,8.411458333333334,91.59375,384,album,False,https://i.scdn.co/image/ab67616d0000b273741fd4807f442af3f7359316,0.6918918918918919
Love Me Again,V,468,3,20.427350427350426,88.52350427350427,468,single,False,https://i.scdn.co/image/ab67616d0000b2732f1a5b69c2bd76474bca8035,0.8432432432432433
TOO MUCH,The Kid LAROI & Jung Kook & Central Cee,21,3,14.619047619047619,86.80952380952381,21,single,True,https://i.scdn.co/image/ab67616d0000b273389e41e5096b6112ce0e1008,0.03783783783783784
EASY,LE SSERAFIM,141,3,23.46808510638298,84.31205673758865,141,single,False,https://i.scdn.co/image/ab67616d0000b273110f5426b8c149e80804912a,0.25405405405405407
ETA,NewJeans,340,3,31.814705882352943,83.40294117647059,340,single,False,https://i.scdn.co/image/ab67616d0000b2730744690248ef3ba7b776ea7b,0.6126126126126126
Spicy,aespa,120,3,21.675,83.16666666666667,120,single,False,https://i.scdn.co/image/ab67616d0000b27304878afb19613a94d37b29ce,0.21621621621621623
New Jeans,NewJeans,280,3,31.214285714285715,81.675,280,single,False,https://i.scdn.co/image/ab67616d0000b2733d98a0ae7c78a3a9babaf8af,0.5045045045045045
3D (feat. Jack Harlow),Jung Kook,308,3,8.12987012987013,79.81168831168831,308,album,True,https://i.scdn.co/image/ab67616d0000b27399583bb32b47e87d55c6064b,0.554954954954955
Bubble Gum,NewJeans,128,3,22.8671875,77.8984375,128,single,False,https://i.scdn.co/image/ab67616d0000b273b657fbb27b17e7bd4691c2b2,0.23063063063063063
Whiplash,aespa,36,3,4.055555555555555,76.30555555555556,36,single,False,https://i.scdn.co/image/ab67616d0000b2736eb604294f8f58c9078f58b1,0.06486486486486487
Smeraldo Garden Marching Band (feat. Loco),Jimin,129,3,6.186046511627907,75.63565891472868,129,album,False,https://i.scdn.co/image/ab67616d0000b273f02c451189a709b9a952aaec,0.23243243243243245
POWER,G-DRAGON,26,3,8.692307692307692,71.8076923076923,26,single,False,https://i.scdn.co/image/ab67616d0000b273bca5394fa6d2809b261abf5c,0.04684684684684685
Slow Dancing,V,234,4,27.346153846153847,90.42735042735043,234,single,False,https://i.scdn.co/image/ab67616d0000b2738e504c5aedaae49a73ed4963,0.42162162162162165
Queencard,(G)I-DLE,119,4,19.51260504201681,87.70588235294117,119,single,False,https://i.scdn.co/image/ab67616d0000b27382dd2427e6d302711b1b9616,0.21441441441441442
Cool With You,NewJeans,86,4,20.767441860465116,86.96511627906976,86,single,False,https://i.scdn.co/image/ab67616d0000b2730744690248ef3ba7b776ea7b,0.15495495495495495
Timeless (with Playboi Carti),The Weeknd & Playboi Carti,12,4,32.0,86.91666666666667,12,single,True,https://i.scdn.co/image/ab67616d0000b273ee2fe4a7b285d3817b470859,0.021621621621621623
GODS,League of Legends & NewJeans,111,4,31.405405405405407,85.72972972972973,111,single,False,https://i.scdn.co/image/ab67616d0000b2738f735a689764b8b75174cfa2,0.2
