song,artist,previous_date,reentry_date,gap_days,previous_position,reentry_position,gap_strength,position_strength,momentum_score
Kill Bill,SZA,2024-05-19,2024-05-21,2.0,46,46,0.003937007874015748,0.1,0.0003937007874015748
LOVE DIVE,IVE,2024-05-19,2024-05-21,2.0,48,49,0.003937007874015748,0.04,0.00015748031496062991
Teddy Bear,STAYC,2024-05-18,2024-05-21,3.0,47,47,0.005905511811023622,0.08,0.00047244094488188977
Love Always Run Away,Lim Young Woong,2024-05-18,2024-05-23,5.0,50,47,0.00984251968503937,0.08,0.0007874015748031496
Interlude : Dive,Jimin,2024-05-20,2024-05-24,4.0,38,48,0.007874015748031496,0.06,0.0004724409448818897
VIBE (feat. Jimin of BTS),TAEYANG,2024-05-22,2024-05-24,2.0,49,43,0.003937007874015748,0.16,0.0006299212598425197
Love Always Run Away,Lim Young Woong,2024-05-23,2024-05-25,2.0,47,50,0.003937007874015748,0.02,7.874015748031496e-05
Like Crazy (Deep House Remix),Jimin,2024-05-20,2024-05-28,8.0,46,43,0.015748031496062992,0.16,0.0025196850393700786
Like Crazy (UK Garage Remix),Jimin,2024-05-20,2024-05-28,8.0,47,44,0.015748031496062992,0.14,0.002204724409448819
Promise,Jimin,2024-05-20,2024-05-28,8.0,43,45,0.015748031496062992,0.12,0.0018897637795275589
LOVE DIVE,IVE,2024-05-22,2024-05-29,7.0,50,49,0.013779527559055118,0.04,0.0005511811023622047
Teddy Bear,STAYC,2024-05-27,2024-05-29,2.0,49,45,0.003937007874015748,0.12,0.0004724409448818897
I Love You,Lim Young Woong,2024-05-27,2024-05-30,3.0,47,46,0.005905511811023622,0.1,0.0005905511811023622
Like Crazy (Deep House Remix),Jimin,2024-05-28,2024-05-30,2.0,43,48,0.003937007874015748,0.06,0.00023622047244094486
Love Always Run Away,Lim Young Woong,2024-05-25,2024-05-30,5.0,50,49,0.00984251968503937,0.04,0.0003937007874015748
Promise,Jimin,2024-05-28,2024-05-30,2.0,45,42,0.003937007874015748,0.18,0.0007086614173228346
Candy (Feat. Zion.T),Jay Park,2024-05-28,2024-05-31,3.0,49,47,0.005905511811023622,0.08,0.00047244094488188977
Teddy Bear,STAYC,2024-05-29,2024-05-31,2.0,45,48,0.003937007874015748,0.06,0.00023622047244094486
Like Crazy (Deep House Remix),Jimin,2024-05-30,2024-06-01,2.0,48,47,0.003937007874015748,0.08,0.00031496062992125983
Like Crazy (UK Garage Remix),Jimin,2024-05-28,2024-06-01,4.0,44,50,0.007874015748031496,0.02,0.00015748031496062991
Love Always Run Away,Lim Young Woong,2024-05-31,2024-06-02,2.0,49,50,0.003937007874015748,0.02,7.874015748031496e-05
Promise,Jimin,2024-05-30,2024-06-02,3.0,42,42,0.005905511811023622,0.18,0.001062992125984252
I Love You,Lim Young Woong,2024-05-31,2024-06-03,3.0,50,44,0.005905511811023622,0.14,0.0008267716535433072
Like Crazy (UK Garage Remix),Jimin,2024-06-01,2024-06-03,2.0,50,49,0.003937007874015748,0.04,0.00015748031496062991
Lovely Touch,Lim Young Woong,2024-05-24,2024-06-03,10.0,45,48,0.01968503937007874,0.06,0.0011811023622047244
NIGHT DANCER - BIG Naughty Remix,imase & BIG Naughty,2024-05-23,2024-06-03,11.0,41,50,0.021653543307086614,0.02,0.0004330708661417323
Dangerously,Charlie Puth,2024-06-02,2024-06-04,2.0,47,47,0.003937007874015748,0.08,0.00031496062992125983
Candy (Feat. Zion.T),Jay Park,2024-06-01,2024-06-05,4.0,45,45,0.007874015748031496,0.12,0.0009448818897637794
Love Always Run Away,Lim Young Woong,2024-06-03,2024-06-05,2.0,47,48,0.003937007874015748,0.06,0.00023622047244094486
Love Me Like This,NMIXX,2024-06-02,2024-06-05,3.0,46,50,0.005905511811023622,0.02,0.00011811023622047244
Lovely Touch,Lim Young Woong,2024-06-03,2024-06-05,2.0,48,49,0.003937007874015748,0.04,0.00015748031496062991
Teddy Bear,STAYC,2024-06-02,2024-06-05,3.0,49,46,0.005905511811023622,0.1,0.0005905511811023622
Fighting (Feat. Lee Young Ji),BSS,2024-06-02,2024-06-06,4.0,45,49,0.007874015748031496,0.04,0.00031496062992125983
