song,artist,total_reentries,average_gap_days,longest_gap_days,best_reentry_position,average_reentry_position,highest_momentum_score,average_momentum_score,normalized_frequency,chart_strength,fandom_intensity_score,fandom_category
"Our Blues, Our Life",Lim Young Woong,31,3.967741935483871,20.0,37,46.0,0.002204724409448819,0.0006781813563627127,1.0,0.1,0.4302034544069089,High
Ditto,NewJeans,27,7.037037037037037,28.0,39,47.148148148148145,0.005118110236220472,0.0010542432195975503,0.8709677419354839,0.0770370370370371,0.37181448085118396,Medium
Seven (feat. Latto) (Explicit Ver.),Jung Kook,4,2.0,2.0,2,2.25,0.003858267716535433,0.0038385826771653543,0.12903225806451613,0.975,0.34526447802895605,Medium
Interlude : Dive,Jimin,21,3.0952380952380953,7.0,24,40.04761904761905,0.0038582677165354333,0.0012785901762279715,0.6774193548387096,0.219047619047619,0.3370656047026379,Medium
A bientot,Lim Young Woong,24,7.166666666666667,48.0,38,46.708333333333336,0.011338582677165353,0.0012007874015748032,0.7741935483870968,0.08583333333333329,0.33578765557531115,Medium
Standing Next to You,Jung Kook,5,2.0,2.0,5,8.2,0.0036220472440944883,0.0033700787401574803,0.16129032258064516,0.856,0.3223271526543053,Medium
New Jeans,NewJeans,23,9.26086956521739,63.0,40,46.869565217391305,0.01736220472440945,0.0018486819582334817,0.7419354838709677,0.08260869565217391,0.32211140683150935,Medium
Closer Than This,Jimin,4,2.0,2.0,5,6.5,0.0036220472440944883,0.0035039370078740156,0.12903225806451613,0.89,0.3196640843281687,Medium
3D (feat. Jack Harlow),Jung Kook,4,2.0,2.0,5,6.5,0.0036220472440944883,0.0035039370078740156,0.12903225806451613,0.89,0.3196640843281687,Medium
Like Crazy (English Version),Jimin,3,2.0,2.0,3,4.666666666666667,0.0037795275590551177,0.0036482939632545928,0.0967741935483871,0.9266666666666667,0.31780416560833125,Medium
