song,artist,total_reentries,average_gap_days,longest_gap_days,best_reentry_position,average_reentry_position,highest_momentum_score,average_momentum_score,normalized_frequency,chart_strength,fandom_intensity_score,fandom_category,reentry_strength,sustainability_score
"Our Blues, Our Life",Lim Young Woong,31,3.967741935483871,20.0,37,46.0,0.002204724409448819,0.0006781813563627127,1.0,0.1,0.4302034544069089,High,0.28,0.38272040894081794
Seven (feat. Latto) (Explicit Ver.),Jung Kook,4,2.0,2.0,2,2.25,0.003858267716535433,0.0038385826771653543,0.12903225806451613,0.975,0.34526447802895605,Medium,0.98,0.3632838296926594
Seven (feat. Latto) (Explicit Ver.),Jung Kook & Latto,1,3.0,3.0,1,1.0,0.005905511811023622,0.005905511811023622,0.03225806451612903,1.0,0.3146748793497587,Medium,1.0,0.3382096139192278
Who,Jimin,1,2.0,2.0,1,1.0,0.003937007874015748,0.003937007874015748,0.03225806451612903,1.0,0.3140843281686563,Medium,1.0,0.33756985013970026
Like Crazy (English Version),Jimin,3,2.0,2.0,3,4.666666666666667,0.0037795275590551177,0.0036482939632545928,0.0967741935483871,0.9266666666666667,0.31780416560833125,Medium,0.96,0.3362233299466599
Standing Next to You,Jung Kook,5,2.0,2.0,5,8.2,0.0036220472440944883,0.0033700787401574803,0.16129032258064516,0.856,0.3223271526543053,Medium,0.92,0.33574688849377693
Closer Than This,Jimin,4,2.0,2.0,5,6.5,0.0036220472440944883,0.0035039370078740156,0.12903225806451613,0.89,0.3196640843281687,Medium,0.92,0.3355500698501397
3D (feat. Jack Harlow),Jung Kook,4,2.0,2.0,5,6.5,0.0036220472440944883,0.0035039370078740156,0.12903225806451613,0.89,0.3196640843281687,Medium,0.92,0.3355500698501397
Smeraldo Garden Marching Band (feat. Loco),Jimin & Loco,1,2.0,2.0,2,2.0,0.003858267716535433,0.003858267716535433,0.03225806451612903,0.98,0.30806070612141223,Medium,0.98,0.3310442595885192
Ditto,NewJeans,27,7.037037037037037,28.0,39,47.148148148148145,0.005118110236220472,0.0010542432195975503,0.8709677419354839,0.0770370370370371,0.37181448085118396,Medium,0.24,0.33021837576082563
Be Mine,Jimin,1,2.0,2.0,3,3.0,0.0037795275590551177,0.0037795275590551177,0.03225806451612903,0.96,0.3020370840741681,Medium,0.96,0.32451866903733806
Set Me Free Pt.2,Jimin,3,2.0,2.0,4,6.666666666666667,0.003700787401574803,0.003490813648293963,0.0967741935483871,0.8866666666666667,0.30575692151384304,Medium,0.94,0.3231721488442977
Supernatural,NewJeans,2,2.0,2.0,4,5.0,0.003700787401574803,0.0036220472440944883,0.06451612903225806,0.92,0.3028930657861316,Medium,0.94,0.3227578105156211
Like Crazy,Jimin,5,2.0,2.0,1,10.6,0.003937007874015748,0.003181102362204724,0.16129032258064516,0.8079999999999999,0.3078704597409195,Medium,1.0,0.3200854711709423
Smeraldo Garden Marching Band (feat. Loco),Jimin,1,2.0,2.0,4,4.0,0.003700787401574803,0.003700787401574803,0.03225806451612903,0.94,0.296013462026924,Medium,0.94,0.31799307848615693
Interlude : Dive,Jimin,21,3.0952380952380953,7.0,24,40.04761904761905,0.0038582677165354333,0.0012785901762279715,0.6774193548387096,0.219047619047619,0.3370656047026379,Medium,0.54,0.30870279219129865
Lost and Found,KingLee & Lil' Flip,1,19.0,19.0,8,8.0,0.03216535433070866,0.03216535433070866,0.03225806451612903,0.86,0.2805528321056642,Medium,0.86,0.30124406273812543
A bientot,Lim Young Woong,24,7.166666666666667,48.0,38,46.708333333333336,0.011338582677165353,0.0012007874015748032,0.7741935483870968,0.08583333333333329,0.33578765557531115,Medium,0.26,0.299253831174329
Slow Dance (feat. Sofia Carson),Jimin,1,2.0,2.0,8,8.0,0.0033858267716535433,0.0033858267716535433,0.03225806451612903,0.86,0.27191897383794766,Medium,0.86,0.29189071628143254
How Sweet,NewJeans,2,2.0,2.0,8,10.0,0.0033858267716535433,0.0032283464566929135,0.06451612903225806,0.82,0.27277495554991105,Medium,0.86,0.2901298577597155
New Jeans,NewJeans,23,9.26086956521739,63.0,40,46.869565217391305,0.01736220472440945,0.0018486819582334817,0.7419354838709677,0.08260869565217391,0.32211140683150935,Medium,0.22,0.28712606707822114
Seven (feat. Latto) (Instrumental),Jung Kook & Latto,1,3.0,3.0,10,10.0,0.00484251968503937,0.00484251968503937,0.03225806451612903,0.82,0.2603559817119634,Medium,0.82,0.2793641414782829
Rebirth (Intro),Jimin,1,2.0,2.0,10,10.0,0.003228346456692913,0.003228346456692913,0.03225806451612903,0.82,0.25987172974345946,Medium,0.82,0.27883953517907034
Magnetic,ILLIT,2,2.0,2.0,13,13.5,0.0029921259842519685,0.002952755905511811,0.06451612903225806,0.75,0.25169227838455677,Medium,0.76,0.26729029083058164
Supernova,aespa,3,2.0,2.0,13,15.333333333333334,0.0029921259842519685,0.002808398950131234,0.0967741935483871,0.7133333333333333,0.25355219710439414,Medium,0.76,0.2666170307340614
Hype Boy,NewJeans,21,10.19047619047619,50.0,35,46.714285714285715,0.006929133858267717,0.0012560929883764528,0.6774193548387096,0.08571428571428569,0.2970588555462825,Medium,0.32,0.2653621472719136
Rainbow,Lim Young Woong,19,3.526315789473684,13.0,31,45.10526315789474,0.0015748031496062992,0.0006361375880646498,0.6129032258064516,0.1178947368421052,0.2807205526516316,Medium,0.4,0.25303866322206325
Interlude : Showtime,Jimin,1,2.0,2.0,15,15.0,0.0028346456692913383,0.0028346456692913383,0.03225806451612903,0.72,0.22975361950723902,Medium,0.72,0.24621158242316485
Jealousyvalhalla,YANGHONGWON,1,4.0,4.0,16,16.0,0.005511811023622047,0.005511811023622047,0.03225806451612903,0.7,0.22455676911353822,Medium,0.7,0.2405816611633223
You & Me (Coachella ver.),JENNIE,1,3.0,3.0,16,16.0,0.004133858267716535,0.004133858267716535,0.03225806451612903,0.7,0.22414338328676658,Medium,0.7,0.24013382651765303
Smart,LE SSERAFIM,3,2.0,2.0,9,19.666666666666668,0.003307086614173228,0.002467191601049869,0.0967741935483871,0.6266666666666666,0.2274498348996698,Medium,0.84,0.23833947167894337
Love Me Again,V,4,2.0,2.0,12,22.5,0.0030708661417322837,0.0022440944881889765,0.12903225806451613,0.57,0.22328613157226312,Medium,0.78,0.23114062103124206
ETA,NewJeans,18,8.277777777777779,77.0,39,47.05555555555556,0.006062992125984252,0.001010498687664042,0.5806451612903226,0.07888888888888886,0.256227880789095,Medium,0.24,0.22919310741399262
Cruel Summer,Taylor Swift,16,13.125,64.0,24,44.1875,0.007559055118110235,0.0015255905511811023,0.5161290322580645,0.13625,0.24778429006858013,Medium,0.54,0.22542222821945643
Polaroid,Lim Young Woong,4,2.0,2.0,19,23.5,0.0025196850393700786,0.0021653543307086614,0.12903225806451613,0.55,0.21726250952501905,Medium,0.64,0.22461503048006096
Sticky,KISS OF LIFE,3,2.0,2.0,6,22.0,0.003543307086614173,0.002283464566929134,0.0967741935483871,0.58,0.21339471678943356,Medium,0.9,0.22311309372618746
Do or Die,Lim Young Woong,7,3.4285714285714284,11.0,12,29.571428571428573,0.0030708661417322837,0.002019122609673791,0.22580645161290322,0.42857142857142855,0.21949974599949199,Medium,0.78,0.21897418719837436
Bam Yang Gang,BIBI,3,3.0,5.0,10,23.666666666666668,0.003228346456692913,0.0023097112860892386,0.0967741935483871,0.5466666666666666,0.20340259080518158,Medium,0.82,0.21228829057658116
Christmas Love,Jimin,14,12.785714285714286,136.0,28,43.214285714285715,0.12314960629921262,0.00957817772778403,0.45161290322580644,0.1557142857142857,0.23023290032294352,Medium,0.46,0.21178456674770493
Grain of Sand,Lim Young Woong,7,3.4285714285714284,12.0,13,31.0,0.0029921259842519685,0.001687289088863892,0.22580645161290322,0.4,0.21082876737182046,Medium,0.76,0.2095806270183969
Never Let Go,Jung Kook,2,2.0,2.0,20,22.5,0.002440944881889764,0.0022440944881889765,0.06451612903225806,0.57,0.19747967995935992,Low,0.62,0.20855997586995173
Perfect Night,LE SSERAFIM,13,7.230769230769231,51.0,16,41.92307692307692,0.018070866141732284,0.002225923682616596,0.41935483870967744,0.1815384615384616,0.22287125105019442,Medium,0.7,0.20649761874523753
