song,artist,total_reentries,average_gap_days,longest_gap_days,best_reentry_position,average_reentry_position,highest_momentum_score,average_momentum_score,normalized_frequency,chart_strength,fandom_intensity_score,fandom_category,reentry_strength,sustainability_score
"Our Blues, Our Life",Lim Young Woong,31,3.967741935483871,20.0,37,46.0,0.002204724409448819,0.0006781813563627127,1.0,0.1,0.4302034544069089,High,0.28,0.38272040894081794
Seven (feat. Latto) (Explicit Ver.),Jung Kook,4,2.0,2.0,2,2.25,0.003858267716535433,0.0038385826771653543,0.12903225806451613,0.975,0.34526447802895605,Medium,0.98,0.3632838296926594
Seven (feat. Latto) (Explicit Ver.),Jung Kook & Latto,1,3.0,3.0,1,1.0,0.005905511811023622,0.005905511811023622,0.03225806451612903,1.0,0.3146748793497587,Medium,1.0,0.3382096139192278
Who,Jimin,1,2.0,2.0,1,1.0,0.003937007874015748,0.003937007874015748,0.03225806451612903,1.0,0.3140843281686563,Medium,1.0,0.33756985013970026
Like Crazy (English Version),Jimin,3,2.0,2.0,3,4.666666666666667,0.0037795275590551177,0.0036482939632545928,0.0967741935483871,0.9266666666666667,0.31780416560833125,Medium,0.96,0.3362233299466599
Standing Next to You,Jung Kook,5,2.0,2.0,5,8.2,0.0036220472440944883,0.0033700787401574803,0.16129032258064516,0.856,0.3223271526543053,Medium,0.92,0.33574688849377693
Closer Than This,Jimin,4,2.0,2.0,5,6.5,0.0036220472440944883,0.0035039370078740156,0.12903225806451613,0.89,0.3196640843281687,Medium,0.92,0.3355500698501397
3D (feat. Jack Harlow),Jung Kook,4,2.0,2.0,5,6.5,0.0036220472440944883,0.0035039370078740156,0.12903225806451613,0.89,0.3196640843281687,Medium,0.92,0.3355500698501397
Smeraldo Garden Marching Band (feat. Loco),Jimin & Loco,1,2.0,2.0,2,2.0,0.003858267716535433,0.003858267716535433,0.03225806451612903,0.98,0.30806070612141223,Medium,0.98,0.3310442595885192
Ditto,NewJeans,27,7.037037037037037,28.0,39,47.148148148148145,0.005118110236220472,0.0010542432195975503,0.8709677419354839,0.0770370370370371,0.37181448085118396,Medium,0.24,0.33021837576082563
