song,artist,total_reentries,average_gap_days,longest_gap_days,best_reentry_position,average_reentry_position,highest_momentum_score,average_momentum_score,normalized_frequency,chart_strength,fandom_intensity_score,fandom_category,reentry_strength,sustainability_score,average_momentum_score_normalized,fandom_intensity_score_normalized,sustainability_score_normalized,overall_performance_score,overall_rank,performance_balance
euphoria,Kendrick Lamar,1,2.0,2.0,50,50.0,7.874015748031496e-05,7.874015748031496e-05,0.03225806451612903,0.02,0.018926847853695708,Low,0.02,0.017815913131826264,0.0,0.0,0.0,0.0,257,0.0
greedy,Tate McRae,1,2.0,2.0,50,50.0,7.874015748031496e-05,7.874015748031496e-05,0.03225806451612903,0.02,0.018926847853695708,Low,0.02,0.017815913131826264,0.0,0.0,0.0,0.0,258,0.0
Love Lee,AKMU,1,2.0,2.0,50,50.0,7.874015748031496e-05,7.874015748031496e-05,0.03225806451612903,0.02,0.018926847853695708,Low,0.02,0.017815913131826264,0.0,0.0,0.0,0.0,259,0.0
Thirsty,aespa,1,2.0,2.0,50,50.0,7.874015748031496e-05,7.874015748031496e-05,0.03225806451612903,0.02,0.018926847853695708,Low,0.02,0.017815913131826264,0.0,0.0,0.0,0.0,260,0.0
Girls Never Die,tripleS,1,3.0,3.0,50,50.0,0.00011811023622047244,0.00011811023622047244,0.03225806451612903,0.02,0.018938658877317754,Low,0.02,0.017828708407416814,0.0003282994090610637,2.871795631905842e-05,3.506472443476692e-05,0.00012081376098215798,255,0.0002995814527420053
Tick-Tack,ILLIT,1,3.0,3.0,50,50.0,0.00011811023622047244,0.00011811023622047244,0.03225806451612903,0.02,0.018938658877317754,Low,0.02,0.017828708407416814,0.0003282994090610637,2.871795631905842e-05,3.506472443476692e-05,0.00012081376098215798,256,0.0002995814527420053
3D (feat. Jack Harlow) (Instrumental),Jung Kook & Jack Harlow,1,4.0,4.0,50,50.0,0.00015748031496062991,0.00015748031496062991,0.03225806451612903,0.02,0.018950469900939803,Low,0.02,0.017841503683007368,0.0006565988181221273,5.743591263812528e-05,7.012944886954336e-05,0.00024162752196432222,252,0.0005991629054840021
SHEESH,BABYMONSTER,1,4.0,4.0,50,50.0,0.00015748031496062991,0.00015748031496062991,0.03225806451612903,0.02,0.018950469900939803,Low,0.02,0.017841503683007368,0.0006565988181221273,5.743591263812528e-05,7.012944886954336e-05,0.00024162752196432222,253,0.0005991629054840021
I Had Some Help (Feat. Morgan Wallen),Post Malone & Morgan Wallen,1,4.0,4.0,50,50.0,0.00015748031496062991,0.00015748031496062991,0.03225806451612903,0.02,0.018950469900939803,Low,0.02,0.017841503683007368,0.0006565988181221273,5.743591263812528e-05,7.012944886954336e-05,0.00024162752196432222,254,0.0005991629054840021
Cupid,FIFTY FIFTY,1,5.0,5.0,50,50.0,0.0001968503937007874,0.0001968503937007874,0.03225806451612903,0.02,0.01896228092456185,Low,0.02,0.017854298958597917,0.0009848982271831912,8.61538689571837e-05,0.00010519417330431028,0.00036244128294648023,251,0.0008987443582260075
