song,artist,total_reentries,average_gap_days,longest_gap_days,best_reentry_position,average_reentry_position,highest_momentum_score,average_momentum_score
Filter,BTS,3,98.66666666666667,288.0,31,40.333333333333336,0.22677165354330708,0.07611548556430446
With you,Jimin & HA SUNG WOON,4,57.75,201.0,28,41.25,0.18200787401574806,0.047194881889763785
Christmas Love,Jimin,14,12.785714285714286,136.0,28,43.214285714285715,0.12314960629921262,0.00957817772778403
That's What I Like,Bruno Mars,1,508.0,508.0,45,45.0,0.12,0.12
Attention,NewJeans,10,26.7,211.0,37,46.7,0.10799212598425197,0.01136220472440945
"Angel Pt. 1 (feat. Jimin of BTS, JVKE & Muni Long) - Trailer Version",Fast & Furious: The Fast Saga & Jimin & BTS,4,37.0,102.0,35,43.0,0.06425196850393701,0.016811023622047245
HAPPY,DAY6,1,161.0,161.0,42,42.0,0.057047244094488185,0.057047244094488185
Welcome to the Show,DAY6,6,26.833333333333332,141.0,36,44.833333333333336,0.03885826771653544,0.007198162729658793
Lost and Found,KingLee & Lil' Flip,1,19.0,19.0,8,8.0,0.03216535433070866,0.03216535433070866
Too Sad to Dance,Jung Kook,9,11.777777777777779,68.0,39,45.22222222222222,0.032125984251968505,0.004763779527559056
