artist,songs_with_reentry,total_reentries,average_momentum_score,average_fandom_intensity,average_sustainability_score
Jimin & Loco,1,1,0.003858267716535433,0.30806070612141223,0.3310442595885192
KingLee & Lil' Flip,1,1,0.03216535433070866,0.2805528321056642,0.30124406273812543
YANGHONGWON,1,1,0.005511811023622047,0.22455676911353822,0.2405816611633223
Jimin,24,151,0.0027064208119818357,0.2181577179742653,0.2194244453681781
NewJeans,12,134,0.0026426103439968554,0.2257040749099327,0.2144948266721403
BIBI,1,3,0.0023097112860892386,0.20340259080518158,0.21228829057658116
Mariah Carey,1,1,0.006377952755905512,0.17681661163322326,0.18886315722631444
Jung Kook & Latto,5,8,0.003364829396325459,0.1776546101092202,0.18815808568283804
J Money & KingLee,1,1,0.025590551181102362,0.17058039116078233,0.18210725171450343
Jung Kook,14,84,0.002192971070923827,0.17254409597683665,0.1707937383835085
TAEYEON,1,3,0.0016666666666666668,0.16320967741935483,0.1687459677419355
JENNIE,2,7,0.002450787401574803,0.1608965265430531,0.1648959682711032
Vaundy,1,3,0.0016404199475065617,0.15720180340360682,0.16223743755820846
Lee Young Ji,1,5,0.0014803149606299212,0.16096022352044703,0.16093271526543054
TWS,2,5,0.0016535433070866143,0.147504127508255,0.15307570802641607
Benson Boone,1,4,0.001279527559055118,0.14949676149352298,0.15120213677927358
Jung Kook & BTS,1,4,0.006023622047244095,0.14791998983997967,0.14949396748793498
Lim Young Woong,23,191,0.0010937280441812344,0.15647403052874648,0.1471900174112846
Tommy Richman,1,3,0.0013517060367454071,0.1411151892303785,0.14481027220387774
Mitski,1,10,0.0006811023622047244,0.15683658877317755,0.14302458407416815
Red Velvet,1,1,0.0015748031496062992,0.1333756667513335,0.1418021336042672
Engel Montaz & Kuv507 & Latinnites Music,1,1,0.0014960629921259843,0.1273520447040894,0.1352765430530861
Nerd Connection,1,9,0.0033377077865266846,0.1444636779273559,0.13230876936753877
LE SSERAFIM,6,29,0.0013418971667003164,0.13207841695811598,0.13009212016340702
HYUKOH & 落日飛車 Sunset Rollercoaster,1,1,0.0014173228346456691,0.12132842265684532,0.128750952501905
Taylor Swift,2,18,0.0008218503937007874,0.13981308737617476,0.1272706296037592
