artist,songs_with_reentry,total_reentries,average_momentum_score,average_fandom_intensity,average_sustainability_score
Jimin & Loco,1,1,0.003858267716535433,0.30806070612141223,0.3310442595885192
KingLee & Lil' Flip,1,1,0.03216535433070866,0.2805528321056642,0.30124406273812543
YANGHONGWON,1,1,0.005511811023622047,0.22455676911353822,0.2405816611633223
Jimin,24,151,0.0027064208119818357,0.2181577179742653,0.2194244453681781
NewJeans,12,134,0.0026426103439968554,0.2257040749099327,0.2144948266721403
BIBI,1,3,0.0023097112860892386,0.20340259080518158,0.21228829057658116
Mariah Carey,1,1,0.006377952755905512,0.17681661163322326,0.18886315722631444
Jung Kook & Latto,5,8,0.003364829396325459,0.1776546101092202,0.18815808568283804
J Money & KingLee,1,1,0.025590551181102362,0.17058039116078233,0.18210725171450343
Jung Kook,14,84,0.002192971070923827,0.17254409597683665,0.1707937383835085
