song,artist,total_reentries,average_gap_days,longest_gap_days,best_reentry_position,average_reentry_position,highest_momentum_score,average_momentum_score,normalized_frequency,chart_strength,fandom_intensity_score,fandom_category,reentry_strength,sustainability_score,average_momentum_score_normalized,fandom_intensity_score_normalized,sustainability_score_normalized,overall_performance_score,overall_rank,performance_balance
"Our Blues, Our Life",Lim Young Woong,31,3.967741935483871,20.0,37,46.0,0.002204724409448819,0.0006781813563627127,1.0,0.1,0.4302034544069089,High,0.28,0.38272040894081794,0.004998623260542647,1.0,1.0,0.7014995869781627,1,0.9950013767394573
Seven (feat. Latto) (Explicit Ver.),Jung Kook,4,2.0,2.0,2,2.25,0.003858267716535433,0.0038385826771653543,0.12903225806451613,0.975,0.34526447802895605,Medium,0.98,0.3632838296926594,0.03135259356533158,0.7934748171314651,0.9467351609218523,0.6184792703882604,2,0.9153825673565207
Ditto,NewJeans,27,7.037037037037037,28.0,39,47.148148148148145,0.005118110236220472,0.0010542432195975503,0.8709677419354839,0.0770370370370371,0.37181448085118396,Medium,0.24,0.33021837576082563,0.008134529802290801,0.8580299180032009,0.8561211665436034,0.6023932385320687,3,0.8498953882009102
Lost and Found,KingLee & Lil' Flip,1,19.0,19.0,8,8.0,0.03216535433070866,0.03216535433070866,0.03225806451612903,0.86,0.2805528321056642,Medium,0.86,0.30124406273812543,0.2675640183847669,0.6361314504235434,0.7767187109546025,0.5747667619977811,4,0.5091546925698356
Seven (feat. Latto) (Explicit Ver.),Jung Kook & Latto,1,3.0,3.0,1,1.0,0.005905511811023622,0.005905511811023622,0.03225806451612903,1.0,0.3146748793497587,Medium,1.0,0.3382096139192278,0.048588312541037425,0.7190976262293136,0.8780206998466548,0.5735679078889002,5,0.8294323873056173
Standing Next to You,Jung Kook,5,2.0,2.0,5,8.2,0.0036220472440944883,0.0033700787401574803,0.16129032258064516,0.856,0.3223271526543053,Medium,0.92,0.33574688849377693,0.027445830597504925,0.7377037739717734,0.8712717409992417,0.5713751794191066,6,0.8438259104017367
Closer Than This,Jimin,4,2.0,2.0,5,6.5,0.0036220472440944883,0.0035039370078740156,0.12903225806451613,0.89,0.3196640843281687,Medium,0.92,0.3355500698501397,0.02856204858831254,0.7312286468098982,0.8707323707094871,0.5692549707082786,7,0.8421703221211745
3D (feat. Jack Harlow),Jung Kook,4,2.0,2.0,5,6.5,0.0036220472440944883,0.0035039370078740156,0.12903225806451613,0.89,0.3196640843281687,Medium,0.92,0.3355500698501397,0.02856204858831254,0.7312286468098982,0.8707323707094871,0.5692549707082786,8,0.8421703221211745
Like Crazy (English Version),Jimin,3,2.0,2.0,3,4.666666666666667,0.0037795275590551177,0.0036482939632545928,0.0967741935483871,0.9266666666666667,0.31780416560833125,Medium,0.96,0.3362233299466599,0.029765813088203103,0.726706340677719,0.8725774016812968,0.5686790537521165,9,0.8428115885930937
Who,Jimin,1,2.0,2.0,1,1.0,0.003937007874015748,0.003937007874015748,0.03225806451612903,1.0,0.3140843281686563,Medium,1.0,0.33756985013970026,0.03217334208798424,0.7176617284133605,0.8762674636249161,0.567527219839792,10,0.8440941215369319
Smeraldo Garden Marching Band (feat. Loco),Jimin & Loco,1,2.0,2.0,2,2.0,0.003858267716535433,0.003858267716535433,0.03225806451612903,0.98,0.30806070612141223,Medium,0.98,0.3310442595885192,0.03151674326986211,0.7030155706906389,0.8583844541631833,0.5559450316797964,11,0.8268677108933212
Interlude : Dive,Jimin,21,3.0952380952380953,7.0,24,40.04761904761905,0.0038582677165354333,0.0012785901762279715,0.6774193548387096,0.219047619047619,0.3370656047026379,Medium,0.54,0.30870279219129865,0.010005315323765751,0.7735396367791701,0.7971589344619541,0.5527460945315232,12,0.7871536191381883
Set Me Free Pt.2,Jimin,3,2.0,2.0,4,6.666666666666667,0.003700787401574803,0.003490813648293963,0.0967741935483871,0.8866666666666667,0.30575692151384304,Medium,0.94,0.3231721488442977,0.02845261545195885,0.6974140252322757,0.8368113827578308,0.5455146774321249,13,0.808358767305872
Be Mine,Jimin,1,2.0,2.0,3,3.0,0.0037795275590551177,0.0037795275590551177,0.03225806451612903,0.96,0.3020370840741681,Medium,0.96,0.32451866903733806,0.030860144451739985,0.6883694129679172,0.8405014447014503,0.5443628435198007,14,0.8096413002497103
Like Crazy,Jimin,5,2.0,2.0,1,10.6,0.003937007874015748,0.003181102362204724,0.16129032258064516,0.8079999999999999,0.3078704597409195,Medium,1.0,0.3200854711709423,0.025869993434011813,0.7025529954372416,0.8283525182910826,0.5435779278351169,15,0.8024825248570707
Supernatural,NewJeans,2,2.0,2.0,4,5.0,0.003700787401574803,0.0036220472440944883,0.06451612903225806,0.92,0.3028930657861316,Medium,0.94,0.3227578105156211,0.02954694681549573,0.6904506928129763,0.8356759121526852,0.5430083957826302,16,0.8061289653371895
A bientot,Lim Young Woong,24,7.166666666666667,48.0,38,46.708333333333336,0.011338582677165353,0.0012007874015748032,0.7741935483870968,0.08583333333333329,0.33578765557531115,Medium,0.26,0.299253831174329,0.009356533158240317,0.7704323627281687,0.7712645946401842,0.5424008950263957,17,0.7619080614819438
Smeraldo Garden Marching Band (feat. Loco),Jimin,1,2.0,2.0,4,4.0,0.003700787401574803,0.003700787401574803,0.03225806451612903,0.94,0.296013462026924,Medium,0.94,0.31799307848615693,0.030203545633617858,0.6737232552451956,0.8226184352397172,0.5327806553598048,18,0.7924148896060994
New Jeans,NewJeans,23,9.26086956521739,63.0,40,46.869565217391305,0.01736220472440945,0.0018486819582334817,0.7419354838709677,0.08260869565217391,0.32211140683150935,Medium,0.22,0.28712606707822114,0.014759199520397386,0.7371791980066972,0.7380291474604483,0.5207506807696201,19,0.723269947940051
Slow Dance (feat. Sofia Carson),Jimin,1,2.0,2.0,8,8.0,0.0033858267716535433,0.0033858267716535433,0.03225806451612903,0.86,0.27191897383794766,Medium,0.86,0.29189071628143254,0.02757715036112935,0.6151386243543091,0.7510863973927853,0.48645190271982175,20,0.7235092470316559
How Sweet,NewJeans,2,2.0,2.0,8,10.0,0.0033858267716535433,0.0032283464566929135,0.06451612903225806,0.82,0.27277495554991105,Medium,0.86,0.2901298577597155,0.026263952724885097,0.6172199041993679,0.7462608648440201,0.48509745498265133,21,0.719996912119135
Hype Boy,NewJeans,21,10.19047619047619,50.0,35,46.714285714285715,0.006929133858267717,0.0012560929883764528,0.6774193548387096,0.08571428571428569,0.2970588555462825,Medium,0.32,0.2653621472719136,0.009817715661445143,0.6762650811178597,0.6783863640574732,0.4770733205098,22,0.668568648396028
